endpoint,mode,metric,sigma,beta,bnn,null,delta
spearman_rho,nearest,per_position_top1_recovery,epi_ale,1.0,0.65,0.6166666666666667,0.033333333333333326
spearman_rho,nearest,per_position_top1_recovery,epi_only,0.0,0.5499999999999999,0.6166666666666667,-0.06666666666666676
spearman_rho,avg_all,per_position_top1_recovery,total,2.0,0.5166666666666666,0.6833333333333335,-0.16666666666666685
spearman_rho,avg_all,per_position_top1_recovery,epi_ale,0.0,0.65,0.6833333333333335,-0.03333333333333344
spearman_rho,avg_all,per_position_top1_recovery,epi_only,1.0,0.6833333333333335,0.6833333333333335,0.0
spearman_rho,distance_weighted,per_position_top1_recovery,total,2.0,0.5166666666666666,0.6833333333333335,-0.16666666666666685
spearman_rho,distance_weighted,per_position_top1_recovery,epi_ale,0.0,0.65,0.6833333333333335,-0.03333333333333344
spearman_rho,distance_weighted,per_position_top1_recovery,epi_only,0.5,0.6833333333333335,0.6833333333333335,0.0
spearman_rho,formaldehyde,per_position_top3_recovery_mean,total,0.0,0.44666666666666666,0.4999999999999999,-0.05333333333333323
spearman_rho,formaldehyde,per_position_top3_recovery_mean,epi_ale,0.0,0.4733333333333333,0.4999999999999999,-0.026666666666666616
spearman_rho,formaldehyde,per_position_top3_recovery_mean,epi_only,0.0,0.4933333333333333,0.4999999999999999,-0.006666666666666599
spearman_rho,nearest,per_position_top3_recovery_mean,total,0.0,0.5,0.6499999999999999,-0.1499999999999999
spearman_rho,nearest,per_position_top3_recovery_mean,epi_ale,1.0,0.5555555555555556,0.6499999999999999,-0.09444444444444433
spearman_rho,nearest,per_position_top3_recovery_mean,epi_only,0.0,0.5444444444444443,0.6499999999999999,-0.10555555555555562
spearman_rho,avg_all,per_position_top3_recovery_mean,total,2.0,0.5444444444444444,0.6,-0.05555555555555558
spearman_rho,avg_all,per_position_top3_recovery_mean,epi_ale,0.0,0.5499999999999999,0.6,-0.050000000000000044
spearman_rho,avg_all,per_position_top3_recovery_mean,epi_only,1.0,0.5888888888888889,0.6,-0.011111111111111072
spearman_rho,distance_weighted,per_position_top3_recovery_mean,total,2.0,0.5388888888888889,0.5944444444444444,-0.05555555555555558
spearman_rho,distance_weighted,per_position_top3_recovery_mean,epi_ale,0.0,0.5499999999999999,0.5944444444444444,-0.04444444444444451
spearman_rho,distance_weighted,per_position_top3_recovery_mean,epi_only,0.5,0.5944444444444444,0.5944444444444444,0.0
spearman_rho,formaldehyde,per_position_top5_recovery_mean,total,0.0,0.45999999999999996,0.524,-0.06400000000000006
spearman_rho,formaldehyde,per_position_top5_recovery_mean,epi_ale,0.0,0.476,0.524,-0.04800000000000004
